axis,fpr,tpr,threshold
I/E,0.019581056466302368,0.0792940273692288,0.819424186756445
I/E,0.020036429872495445,0.0792940273692288,0.8193759187908742
I/E,0.020036429872495445,0.0801892825169459,0.8186142804698454
I/E,0.020491803278688523,0.0801892825169459,0.8186074055139118
I/E,0.020491803278688523,0.081084537664663,0.8179454379847765
I/E,0.021402550091074682,0.081084537664663,0.817866002081457
I/E,0.021402550091074682,0.08159611203478706,0.8174927524031474
I/E,0.02185792349726776,0.08159611203478706,0.8174749355618367
I/E,0.02185792349726776,0.08223557999744213,0.8168594120245931
I/E,0.022313296903460837,0.08223557999744213,0.8167055046265136
I/E,0.022313296903460837,0.08236347358997315,0.8166692435243004
I/E,0.022768670309653915,0.08236347358997315,0.8166478364579516
I/E,0.022768670309653915,0.08607238777337256,0.8135817877345518
I/E,0.023224043715846996,0.08607238777337256,0.8130252281255027
I/E,0.023224043715846996,0.08786289806880675,0.811800955816819
I/E,0.023679417122040074,0.08786289806880675,0.8117898419424392
I/E,0.023679417122040074,0.08978130195677196,0.8104176128314676
I/E,0.02413479052823315,0.08978130195677196,0.810380559569973
I/E,0.02413479052823315,0.090164982734365,0.8102794250298153
I/E,0.025045537340619307,0.090164982734365,0.8099468192314159
I/E,0.025045537340619307,0.09067655710448906,0.8097847153622221
I/E,0.025500910746812388,0.09067655710448906,0.809769573563014
I/E,0.025500910746812388,0.09093234428955109,0.809318519348897
I/E,0.025956284153005466,0.09093234428955109,0.8092301245885899
I/E,0.025956284153005466,0.09221128021486123,0.8083331911911217
I/E,0.026411657559198543,0.09221128021486123,0.8082229082686212
I/E,0.026411657559198543,0.09246706739992326,0.8079228958945911
I/E,0.02686703096539162,0.09246706739992326,0.8078606257994194
I/E,0.02686703096539162,0.0937460033252334,0.8070983804326191
I/E,0.0273224043715847,0.0937460033252334,0.8070848776971643
I/E,0.0273224043715847,0.09502493925054355,0.8056637651358227
I/E,0.027777777777777776,0.09502493925054355,0.8056088847161317
I/E,0.027777777777777776,0.09566440721319862,0.8051484037145046
I/E,0.028233151183970857,0.09566440721319862,0.8051389987901331
I/E,0.028233151183970857,0.09604808799079166,0.8048011522590652
I/E,0.028688524590163935,0.09604808799079166,0.80478289636922
I/E,0.028688524590163935,0.09835017265634992,0.8030650162285922
I/E,0.029143897996357013,0.09835017265634992,0.8030627634465131
I/E,0.029143897996357013,0.09847806624888093,0.8030529106679382
I/E,0.02959927140255009,0.09847806624888093,0.8030217537909831
I/E,0.02959927140255009,0.09860595984141195,0.8029667115994169
I/E,0.030054644808743168,0.09860595984141195,0.8029209292142635
I/E,0.030054644808743168,0.099117534211536,0.8026124246459774
I/E,0.03051001821493625,0.099117534211536,0.8025607855210186
I/E,0.03051001821493625,0.10026857654431513,0.8016488144949283
I/E,0.030965391621129327,0.10026857654431513,0.8016431782789302
I/E,0.030965391621129327,0.10065225732190818,0.8014617216981355
I/E,0.031420765027322405,0.10065225732190818,0.8014521639587399
I/E,0.031420765027322405,0.10423327791277658,0.7999036255063058
I/E,0.031876138433515486,0.10423327791277658,0.7997762526660951
I/E,0.031876138433515486,0.10487274587543165,0.7995658295191201
I/E,0.03233151183970856,0.10487274587543165,0.7995610482814607
I/E,0.03233151183970856,0.10602378820821076,0.7988882418403802
I/E,0.03278688524590164,0.10602378820821076,0.7988638255984895
I/E,0.03278688524590164,0.11139531909451336,0.7953689318164361
I/E,0.033242258652094715,0.11139531909451336,0.7953258671455461
I/E,0.033242258652094715,0.11459265890778872,0.7933897389613527
I/E,0.033697632058287796,0.11459265890778872,0.7933331592357954
I/E,0.033697632058287796,0.1153600204629748,0.7927289147313944
I/E,0.03415300546448088,0.1153600204629748,0.7926478411682231
I/E,0.03415300546448088,0.11778999872106408,0.7909087678411125
I/E,0.03460837887067395,0.11778999872106408,0.7907899041796659
I/E,0.03460837887067395,0.12303363601483566,0.7882363079051501
I/E,0.03506375227686703,0.12303363601483566,0.7880977640404871
I/E,0.03506375227686703,0.12354521038495972,0.7879167076642656
I/E,0.03551912568306011,0.12354521038495972,0.7878810861272167
I/E,0.03551912568306011,0.12495203990280088,0.7868748581441029
I/E,0.03597449908925319,0.12495203990280088,0.7868439306040976
I/E,0.03597449908925319,0.12571940145798696,0.7865517227151734
I/E,0.03642987249544627,0.12571940145798696,0.7865377419737529
I/E,0.03642987249544627,0.1278935925310142,0.7850498270286718
I/E,0.036885245901639344,0.1278935925310142,0.7850319778906806
I/E,0.036885245901639344,0.12993989001151043,0.7836333820614162
I/E,0.037340619307832425,0.12993989001151043,0.7836233067886547
I/E,0.037340619307832425,0.1304514643816345,0.7834315503234506
I/E,0.0377959927140255,0.1304514643816345,0.7831504322816961
I/E,0.0377959927140255,0.13275354904719275,0.7820770469088396
I/E,0.03825136612021858,0.13275354904719275,0.7819669519058163
I/E,0.03825136612021858,0.13288144263972376,0.7818608678674718
I/E,0.038706739526411654,0.13288144263972376,0.7818374802022846
I/E,0.038706739526411654,0.1341603785650339,0.7812839515478764
I/E,0.039162112932604735,0.1341603785650339,0.7812612435068358
I/E,0.039162112932604735,0.13428827215756492,0.7810960918802341
I/E,0.03961748633879782,0.13428827215756492,0.7810689294610409
I/E,0.03961748633879782,0.135183527305282,0.7805413612728229
I/E,0.04007285974499089,0.135183527305282,0.7805330234041842
I/E,0.04007285974499089,0.13735771837830923,0.7794491298184317
I/E,0.04052823315118397,0.13735771837830923,0.7792555276936263
I/E,0.04052823315118397,0.1388924414886814,0.7786957588286526
I/E,0.040983606557377046,0.1388924414886814,0.7785858596221528
I/E,0.040983606557377046,0.13991559022892952,0.7776865549363774
I/E,0.04143897996357013,0.13991559022892952,0.7776848316633732
I/E,0.04143897996357013,0.14285714285714285,0.7761747381919663
I/E,0.04189435336976321,0.14285714285714285,0.7761556182361644
I/E,0.04189435336976321,0.14490344033763908,0.7751510357563277
I/E,0.04234972677595628,0.14490344033763908,0.7751084073741074
I/E,0.04234972677595628,0.14579869548535618,0.7746338601984347
I/E,0.042805100182149364,0.14579869548535618,0.7745133232858998
